project_id,project_name,primary_state,geopolitical_zone,award_year,award_month,cost_ngn_billion,contractor,latitude_start,longitude_start,estimated_length_km,terrain_type,terrain_description,rainfall_mm_per_year,soil_type,elevation_m,has_bridge,is_dual_carriageway,is_rehabilitation,is_coastal_or_swamp,boq_earthworks_m3_per_km,boq_asphalt_ton_per_km,boq_drainage_km_per_km,boq_bridges_units,boq_culverts_units,boq_premium_percent,generic_boq_notes
1,Zaria–Katsina Road,Kaduna,North West,2025,3,198,Mothercat Nigeria Ltd,11.11,7.72,120,Savanna,"Flat dry savanna, sandy",450,Sandy Loam,380,1,1,0,0,1200,280,0.8,4,120,8,"Dry terrain, low drainage, dust control +5%"
2,Bagudu Road,Kebbi,North West,2025,3,2.64,RCC,13.06,5.24,20,Savanna,"Arid plains, low vegetation",380,Loamy Sand,360,0,0,0,0,800,200,0.3,0,15,3,Very low-cost rural road
3,Gada–Zamazuru–Gamji Road,Kebbi,North West,2025,3,11.97,JULIUS BERGER,12.5,5.5,35,Savanna,"Dry grassland, seasonal streams",420,Sandy,370,0,0,0,0,1000,240,0.5,1,30,5,"Gravel suitable, dust mitigation"
4,Zaria–Hunkuyi–Kolomani–Dan Bali–Maraba Road,Kaduna,North West,2025,3,679,JULIUS BERGER,11.05,7.65,300,Savanna,"Rolling savanna, stable subsoil",480,Clay Loam,400,1,1,0,0,1400,320,0.9,10,250,10,Major multi-lot project
5,Jos–Turunkun–Maraban Jama’a Road (Rehab),Kaduna,North West,2025,11,30,RCCG,9.93,8.89,50,Plateau,"Plateau edges, rocky, erosion risk",850,Rocky Loam,1200,0,0,1,0,1100,260,1.2,1,60,12,Rehab + rock blasting
6,Kano–Maiduguri Road (NW Section),Kano,North West,2025,3,128.39,Tractor Nigeria Ltd,12,8.52,150,Savanna,"Semi-arid, wind erosion",400,Sandy,360,1,1,0,0,1300,300,0.7,2,150,8,Long-haul reinforced base
7,Sokoto–Badagry Superhighway (NW Section),Sokoto,North West,2025,11,551.5,RCCC,13.08,5.25,350,Sahel,"Desert fringe, sandy dunes",320,Sand,350,1,1,0,0,1600,350,0.9,8,300,12,Geotextile sand stabilization
8,Wudil–Kwanar Huguma Road (Rehab),Kano,North West,2024,2,45,RCCC,11.78,8.87,40,Savanna,"Flat farmlands, clay soils",500,Clay Loam,380,0,0,1,0,900,220,0.6,0,40,5,Budget rehab
9,Gulu Bridge & Approach Roads,Kano,North West,2023,1,12,Garit Nigeria Ltd,12,8.52,15,Riverine,"Seasonal flooding, elevated",550,Silty Loam,370,1,0,0,0,1500,300,1,2,25,18,Flood-proof approaches
10,Mararaba–Bali Road,Taraba,North West,2025,3,15,Moulds Nigeria Ltd,8.5,10,50,Transitional,"Moderate slopes, stable",750,Loam,450,0,0,0,0,1100,250,0.8,1,50,6,Standard savanna pricing
